#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=60 keyint_min=31 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:116 out:113 type:P dur:2 cpbdur:2 q:30.03 aq:21.63 tex:17689 mv:8125 misc:1266 imb:715 pmb:400 smb:505 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:30.03 aq:22.64 tex:3004 mv:3267 misc:1265 imb:59 pmb:307 smb:1254 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:30.03 aq:23.36 tex:2044 mv:2308 misc:1216 imb:41 pmb:278 smb:1301 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:30.03 aq:23.22 tex:1633 mv:2240 misc:1119 imb:25 pmb:261 smb:1334 d:- ref:0 ;
in:119 out:117 type:P dur:2 cpbdur:2 q:30.03 aq:22.41 tex:10528 mv:6468 misc:1436 imb:539 pmb:327 smb:754 d:s ref:0 ;
in:117 out:118 type:B dur:2 cpbdur:2 q:30.03 aq:23.52 tex:1432 mv:2064 misc:1016 imb:25 pmb:233 smb:1362 d:t ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:30.03 aq:24.27 tex:1880 mv:1887 misc:1073 imb:24 pmb:234 smb:1362 d:- ref:0 ;
in:120 out:120 type:I dur:2 cpbdur:2 q:27.12 aq:19.44 tex:48159 mv:11236 misc:165 imb:1620 pmb:0 smb:0 d:s ref:;
in:124 out:121 type:P dur:2 cpbdur:2 q:30.03 aq:22.79 tex:11417 mv:7122 misc:1373 imb:613 pmb:318 smb:689 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:30.03 aq:21.61 tex:2209 mv:2637 misc:1154 imb:40 pmb:247 smb:1333 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:30.03 aq:25.44 tex:1713 mv:2194 misc:1069 imb:24 pmb:239 smb:1357 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:30.03 aq:23.51 tex:1866 mv:2605 misc:1201 imb:38 pmb:315 smb:1267 d:- ref:0 ;
in:127 out:125 type:P dur:2 cpbdur:2 q:30.03 aq:22.67 tex:12997 mv:6843 misc:1344 imb:631 pmb:302 smb:687 d:s ref:0 ;
